Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alyaev, Sergey; Keilegavlen, Eirik; Nordbotten, Jan Martin; ",Analysis of control volume heterogeneous multiscale methods for single phase flow in porous media,Multiscale Modeling & Simulation,12,1,335-363,2014,Society for Industrial and Applied Mathematics
"Balakin, Boris V; Alyaev, Sergey; Hoffmann, Alex C; Kosinski, Pawel; ",Micromechanics of agglomeration forced by the capillary bridge: the restitution of momentum,AIChE Journal,59,11,4045-4057,2013,
"Luo, Xiaodong; Eliasson, Peder; Alyaev, Sergey; Romdhane, Anouar; Suter, Erich; Querendez, Etor; Vefring, Erlend; ",An ensemble-based framework for proactive geosteering,SPWLA Annual Logging Symposium,,,SPWLA-2015-KKKK,2015,SPWLA
"Alyaev, Sergey; Bratvold, Reidar Brumer; Luo, Xiaodong; Suter, Erich; Vefring, Erlend H; ",An interactive decision support system for geosteering operations,SPE Norway Subsurface Conference,,,D011S004R001,2018,SPE
"Cayeux, Eric; Daireaux, Benoît; Saadallah, Nejm; Alyaev, Sergey; ",Toward Seamless Interoperability Between Real-Time Drilling Management and Control Applications,SPE/IADC Drilling Conference and Exhibition,,,D031S017R002,2019,SPE
"Alyaev, Sergey; Suter, Erich; Bratvold, Reider Brumer; Hong, Aojie; Luo, Xiaodong; Fossum, Kristian; ",A decision support system for multi-target geosteering,Journal of Petroleum Science and Engineering,183,,106381,2019,Elsevier
"Ambrus, A; Saadallah, N; Alyaev, S; Iversen, F; ",Automatic detection of anomalous drilling operations using machine learning methods and drilling process simulations,Oil Gas-European Magazine,45,1,17-18,2019,"URBAN-VERLAG GMBH PO BOX 70 16 06, D-22016 HAMBURG, GERMANY"
"Kuzmenkov, DM; Delov, MI; Zeynalyan, K; Struchalin, PG; Alyaev, S; He, Y; Kutsenko, KV; Balakin, BV; ",Solar steam generation in fine dispersions of graphite particles,Renewable Energy,161,,265-277,2020,Pergamon
"Thune, Eveline L; Kosinski, Pawel; Balakin, Boris V; Alyaev, Sergey; ",A numerical study of flow field and particle deposition in nasal channels with deviant geometry,Engineering Applications of Computational Fluid Mechanics,15,1,180-193,2021,Taylor & Francis
"Alyaev, Sergey; Tveranger, Jan; Fossum, Kristian; Elsheikh, Ahmed H; ",Probabilistic forecasting for geosteering in fluvial successions using a generative adversarial network,First Break,39,7,45-50,2021,European Association of Geoscientists & Engineers
"Alyaev, Sergey; Shahriari, Mostafa; Pardo, David; Omella, Ángel Javier; Larsen, David Selvåg; Jahani, Nazanin; Suter, Erich; ",Modeling extra-deep electromagnetic logs using a deep neural network,Geophysics,86,3,E269-E281,2021,Society of Exploration Geophysicists
"Tadjer, Amine; Alyaev, Sergey; Miner, Dylan; Kuvaev, Igor; Bratvold, Reidar Brumer; ",Unlocking the human factor: Geosteering decision making as a component of drilling operational efficacy,"Unconventional Resources Technology Conference, 26–28 July 2021",,,1395-1410,2021,Unconventional Resources Technology Conference (URTeC)
"Alyaev, Sergey; Elsheikh, Ahmed H; ",Direct multi‐modal inversion of geophysical logs using deep learning,Earth and Space Science,9,9,e2021EA002186,2022,
"Alyaev, Sergey; Ivanova, Sofija; Holsaeter, Andrew; Bratvold, Reidar Brumer; Bendiksen, Morten; ",An interactive sequential-decision benchmark from geosteering,Applied Computing and Geosciences,12,,100072,2021,Elsevier
"Jahani, Nazanin; Ambia Garrido, Joaquin; Alyaev, Sergey; Fossum, Kristian; Suter, Erich; Torres-Verdín, Carlos; ",Ensemble-Based Well-Log Interpretation and Uncertainty Quantification for Well Geosteering,Geophysics,87,3,1-43,2022,Society of Exploration Geophysicists
"Rammay, Muzammil Hussain; Alyaev, Sergey; Elsheikh, Ahmed H; ",Probabilistic model-error assessment of deep learning proxies: an application to real-time inversion of borehole electromagnetic measurements,Geophysical Journal International,230,3,1800-1817,2022,Oxford University Press
"Fossum, Kristian; Alyaev, Sergey; Tveranger, Jan; Elsheikh, Ahmed H; ",Verification of a real-time ensemble-based method for updating earth model based on GAN,Journal of Computational Science,65,,101876,2022,Elsevier
"Jahani, Nazanin; Alyaev, Sergey; Ambía, Joaquín; Fossum, Kristian; Suter, Erich; Torres-Verdín, Carlos; ",Enhancing the detectability of deep-sensing borehole electromagnetic instruments by joint inversion of multiple logs within a probabilistic geosteering workflow,Petrophysics,64,01,80-91,2023,SPWLA
"Pacis, Felix James; Ambrus, Adrian; Alyaev, Sergey; Khosravanian, Rasool; Kristiansen, Tron Golder; Wiktorski, Tomasz; ",Improving predictive models for rate of penetration in real drilling operations through transfer learning,Journal of Computational Science,72,,102100,2023,Elsevier
"Fossum, Kristian; Alyaev, Sergey; Elsheikh, Ahmed H; ",Ensemble history-matching workflow using interpretable SPADE-GAN geomodel,First Break,42,2,57-63,2024,European Association of Geoscientists & Engineers
